x1,x2,x3,y_pred
1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000056e-01,2.950000000000000178e+00
1.004004004004003914e+00,5.040040040040040248e-01,1.004004004004004080e-01,2.955805805805805875e+00
1.008008008008008050e+00,5.080080080080080496e-01,1.008008008008008105e-01,2.961611611611611572e+00
1.012012012012011963e+00,5.120120120120119633e-01,1.012012012012012130e-01,2.967417417417417269e+00
1.016016016016016099e+00,5.160160160160159881e-01,1.016016016016016016e-01,2.973223223223222966e+00
1.020020020020020013e+00,5.200200200200200129e-01,1.020020020020020041e-01,2.979029029029029108e+00
1.024024024024023927e+00,5.240240240240240377e-01,1.024024024024024065e-01,2.984834834834834805e+00
1.028028028028028062e+00,5.280280280280280625e-01,1.028028028028028090e-01,2.990640640640640946e+00
1.032032032032031976e+00,5.320320320320319762e-01,1.032032032032032115e-01,2.996446446446446199e+00
1.036036036036036112e+00,5.360360360360360010e-01,1.036036036036036140e-01,3.002252252252252340e+00
1.040040040040040026e+00,5.400400400400400258e-01,1.040040040040040026e-01,3.008058058058058037e+00
1.044044044044043940e+00,5.440440440440440506e-01,1.044044044044044051e-01,3.013863863863863735e+00
1.048048048048048075e+00,5.480480480480480754e-01,1.048048048048048075e-01,3.019669669669669876e+00
1.052052052052051989e+00,5.520520520520521002e-01,1.052052052052052100e-01,3.025475475475475573e+00
1.056056056056056125e+00,5.560560560560560139e-01,1.056056056056056125e-01,3.031281281281281270e+00
1.060060060060060039e+00,5.600600600600600387e-01,1.060060060060060150e-01,3.037087087087086967e+00
1.064064064064063952e+00,5.640640640640640635e-01,1.064064064064064175e-01,3.042892892892893109e+00
1.068068068068068088e+00,5.680680680680680883e-01,1.068068068068068199e-01,3.048698698698698806e+00
1.072072072072072002e+00,5.720720720720721131e-01,1.072072072072072085e-01,3.054504504504504947e+00
1.076076076076076138e+00,5.760760760760761379e-01,1.076076076076076110e-01,3.060310310310310200e+00
1.080080080080080052e+00,5.800800800800800516e-01,1.080080080080080135e-01,3.066116116116115897e+00
1.084084084084083965e+00,5.840840840840840764e-01,1.084084084084084160e-01,3.071921921921922038e+00
1.088088088088088101e+00,5.880880880880881012e-01,1.088088088088088184e-01,3.077727727727727736e+00
1.092092092092092015e+00,5.920920920920921260e-01,1.092092092092092209e-01,3.083533533533533877e+00
1.096096096096096151e+00,5.960960960960961508e-01,1.096096096096096095e-01,3.089339339339339130e+00
1.100100100100100065e+00,6.001001001001000645e-01,1.100100100100100120e-01,3.095145145145145271e+00
1.104104104104104200e+00,6.041041041041040893e-01,1.104104104104104145e-01,3.100950950950950968e+00
1.108108108108108114e+00,6.081081081081081141e-01,1.108108108108108170e-01,3.106756756756756666e+00
1.112112112112112028e+00,6.121121121121121389e-01,1.112112112112112194e-01,3.112562562562562807e+00
1.116116116116116164e+00,6.161161161161161637e-01,1.116116116116116219e-01,3.118368368368368060e+00
1.120120120120120077e+00,6.201201201201200774e-01,1.120120120120120244e-01,3.124174174174174201e+00
1.124124124124124213e+00,6.241241241241241022e-01,1.124124124124124130e-01,3.129979979979979898e+00
1.128128128128128127e+00,6.281281281281281270e-01,1.128128128128128155e-01,3.135785785785786040e+00
1.132132132132132041e+00,6.321321321321321518e-01,1.132132132132132180e-01,3.141591591591591737e+00
1.136136136136136177e+00,6.361361361361361766e-01,1.136136136136136204e-01,3.147397397397397434e+00
1.140140140140140090e+00,6.401401401401400904e-01,1.140140140140140229e-01,3.153203203203203131e+00
1.144144144144144226e+00,6.441441441441441151e-01,1.144144144144144254e-01,3.159009009009008828e+00
1.148148148148148140e+00,6.481481481481481399e-01,1.148148148148148140e-01,3.164814814814814969e+00
1.152152152152152276e+00,6.521521521521521647e-01,1.152152152152152165e-01,3.170620620620620667e+00
1.156156156156156189e+00,6.561561561561561895e-01,1.156156156156156189e-01,3.176426426426426364e+00
1.160160160160160103e+00,6.601601601601601033e-01,1.160160160160160214e-01,3.182232232232232061e+00
1.164164164164164239e+00,6.641641641641641280e-01,1.164164164164164239e-01,3.188038038038038202e+00
1.168168168168168153e+00,6.681681681681681528e-01,1.168168168168168264e-01,3.193843843843843899e+00
1.172172172172172289e+00,6.721721721721721776e-01,1.172172172172172289e-01,3.199649649649649596e+00
1.176176176176176202e+00,6.761761761761762024e-01,1.176176176176176313e-01,3.205455455455455294e+00
1.180180180180180116e+00,6.801801801801801162e-01,1.180180180180180199e-01,3.211261261261260991e+00
1.184184184184184252e+00,6.841841841841842520e-01,1.184184184184184224e-01,3.217067067067067576e+00
1.188188188188188166e+00,6.881881881881881657e-01,1.188188188188188249e-01,3.222872872872872829e+00
1.192192192192192302e+00,6.921921921921921905e-01,1.192192192192192274e-01,3.228678678678678970e+00
1.196196196196196215e+00,6.961961961961962153e-01,1.196196196196196299e-01,3.234484484484484224e+00
1.200200200200200129e+00,7.002002002002001291e-01,1.200200200200200185e-01,3.240290290290290365e+00
1.204204204204204265e+00,7.042042042042042649e-01,1.204204204204204209e-01,3.246096096096096506e+00
1.208208208208208179e+00,7.082082082082081786e-01,1.208208208208208234e-01,3.251901901901901759e+00
1.212212212212212314e+00,7.122122122122122034e-01,1.212212212212212259e-01,3.257707707707707900e+00
1.216216216216216228e+00,7.162162162162162282e-01,1.216216216216216284e-01,3.263513513513513153e+00
1.220220220220220142e+00,7.202202202202202530e-01,1.220220220220220309e-01,3.269319319319319295e+00
1.224224224224224278e+00,7.242242242242242778e-01,1.224224224224224333e-01,3.275125125125125436e+00
1.228228228228228192e+00,7.282282282282281916e-01,1.228228228228228358e-01,3.280930930930931133e+00
1.232232232232232327e+00,7.322322322322322163e-01,1.232232232232232383e-01,3.286736736736736830e+00
1.236236236236236241e+00,7.362362362362362411e-01,1.236236236236236269e-01,3.292542542542542527e+00
1.240240240240240155e+00,7.402402402402402659e-01,1.240240240240240294e-01,3.298348348348348225e+00
1.244244244244244291e+00,7.442442442442442907e-01,1.244244244244244318e-01,3.304154154154154366e+00
1.248248248248248204e+00,7.482482482482482045e-01,1.248248248248248343e-01,3.309959959959960063e+00
1.252252252252252340e+00,7.522522522522522292e-01,1.252252252252252229e-01,3.315765765765765760e+00
1.256256256256256254e+00,7.562562562562562540e-01,1.256256256256256254e-01,3.321571571571571457e+00
1.260260260260260168e+00,7.602602602602602788e-01,1.260260260260260279e-01,3.327377377377377154e+00
1.264264264264264304e+00,7.642642642642643036e-01,1.264264264264264304e-01,3.333183183183183740e+00
1.268268268268268217e+00,7.682682682682682174e-01,1.268268268268268328e-01,3.338988988988988993e+00
1.272272272272272353e+00,7.722722722722722422e-01,1.272272272272272353e-01,3.344794794794794690e+00
1.276276276276276267e+00,7.762762762762762669e-01,1.276276276276276378e-01,3.350600600600600387e+00
